Security,VMTDVCLE Index                                                  ,
Start Date,01/01/1980 0:00,
End Date,01/31/2023 0:00,
Period,M,
"'=@BDH(B1,B6:C6,B2,B3,""Dir=V"",""Dts=S"",""Sort=D"",""Quote=C"",""QtTyp=P"",""Days=T"",CONCATENATE(""Per=c"",B4),""DtFmt=D"",""UseDPDF=Y"",""cols=3;rows=517"")",,
Date,PX_LAST,PX_MID
01/31/2023,247322,247322
12/31/2022,256430,256430
11/30/2022,264202,264202
10/31/2022,285982,285982
09/30/2022,280847,280847
08/31/2022,289257,289257
07/31/2022,286578,286578
06/30/2022,282121,282121
05/31/2022,287956,287956
04/30/2022,263093,263093
03/31/2022,277355,277355
02/28/2022,235668,235668
01/31/2022,234099,234099
12/31/2021,261028,261028
11/30/2021,267714,267714
10/31/2021,285643,285643
09/30/2021,278076,278076
08/31/2021,287347,287347
07/31/2021,296430,296430
06/30/2021,286898,286898
05/31/2021,284326,284326
04/30/2021,259189,259189
03/31/2021,269426,269426
02/28/2021,213038,213038
01/31/2021,224959,224959
12/31/2020,241451,241451
11/30/2020,238300,238300
10/31/2020,266596,266596
09/30/2020,257531,257531
08/31/2020,265060,265060
07/31/2020,265550,265550
06/30/2020,250330,250330
05/31/2020,221006,221006
04/30/2020,167617,167617
03/31/2020,226638,226638
02/29/2020,242695,242695
01/31/2020,260847,260847
12/31/2019,261757,261757
11/30/2019,260326,260326
10/31/2019,283961,283961
09/30/2019,273319,273319
08/31/2019,293308,293308
07/31/2019,291520,291520
06/30/2019,281359,281359
05/31/2019,289711,289711
04/30/2019,273413,273413
03/31/2019,272379,272379
02/28/2019,231791,231791
01/31/2019,248927,248927
12/31/2018,270370,270370
11/30/2018,260473,260473
10/31/2018,281382,281382
09/30/2018,267434,267434
08/31/2018,284989,284989
07/31/2018,290989,290989
06/30/2018,282648,282648
05/31/2018,283713,283713
04/30/2018,275127,275127
03/31/2018,270705,270705
02/28/2018,227759,227759
01/31/2018,244736,244736
12/31/2017,267958,267958
11/30/2017,258159,258159
10/31/2017,278888,278888
09/30/2017,265212,265212
08/31/2017,282558,282558
07/31/2017,288566,288566
06/30/2017,280290,280290
05/31/2017,281264,281264
04/30/2017,272864,272864
03/31/2017,268343,268343
02/28/2017,225644,225644
01/31/2017,242600,242600
12/31/2016,264778,264778
11/30/2016,255154,255154
10/31/2016,275610,275610
09/30/2016,262039,262039
08/31/2016,279213,279213
07/31/2016,285160,285160
06/30/2016,276991,276991
05/31/2016,277972,277972
04/30/2016,269653,269653
03/31/2016,265147,265147
02/29/2016,223011,223011
01/31/2016,239679,239679
12/31/2015,259424,259424
11/30/2015,248843,248843
10/31/2015,268469,268469
09/30/2015,255090,255090
08/31/2015,272209,272209
07/31/2015,278372,278372
06/30/2015,270574,270574
05/31/2015,270839,270839
04/30/2015,262817,262817
03/31/2015,258017,258017
02/28/2015,217220,217220
01/31/2015,233498,233498
12/31/2014,252271,252271
11/30/2014,241451,241451
10/31/2014,265144,265144
09/30/2014,247688,247688
08/31/2014,268831,268831
07/31/2014,270053,270053
06/30/2014,263459,263459
05/31/2014,266237,266237
04/30/2014,256736,256736
03/31/2014,253424,253424
02/28/2014,213949,213949
01/31/2014,226413,226413
12/31/2013,241237,241237
11/30/2013,240055,240055
10/31/2013,258748,258748
09/30/2013,242536,242536
08/31/2013,268061,268061
07/31/2013,263946,263946
06/30/2013,259980,259980
05/31/2013,263406,263406
04/30/2013,252064,252064
03/31/2013,253026,253026
02/28/2013,215803,215803
01/31/2013,229419,229419
12/31/2012,238709,238709
11/30/2012,240361,240361
10/31/2012,253574,253574
09/30/2012,238867,238867
08/31/2012,264379,264379
07/31/2012,260244,260244
06/30/2012,260376,260376
05/31/2012,260774,260774
04/30/2012,249394,249394
03/31/2012,256166,256166
02/29/2012,218196,218196
01/31/2012,227527,227527
12/31/2011,244810,244810
11/30/2011,238535,238535
10/31/2011,251906,251906
09/30/2011,242062,242062
08/31/2011,260526,260526
07/31/2011,260175,260175
06/30/2011,258350,258350
05/31/2011,254083,254083
04/30/2011,249578,249578
03/31/2011,253124,253124
02/28/2011,213463,213463
01/31/2011,223790,223790
12/31/2010,240800,240800
11/30/2010,239579,239579
10/31/2010,256395,256395
09/30/2010,244682,244682
08/31/2010,263837,263837
07/31/2010,265315,265315
06/30/2010,260083,260083
05/31/2010,256927,256927
04/30/2010,253936,253936
03/31/2010,254238,254238
02/28/2010,210635,210635
01/31/2010,220839,220839
12/31/2009,239593,239593
11/30/2009,237264,237264
10/31/2009,252209,252209
09/30/2009,241970,241970
08/31/2009,260297,260297
07/31/2009,264472,264472
06/30/2009,258395,258395
05/31/2009,258276,258276
04/30/2009,251374,251374
03/31/2009,249741,249741
02/28/2009,217643,217643
01/31/2009,225529,225529
12/31/2008,241742,241742
11/30/2008,236465,236465
10/31/2008,255848,255848
09/30/2008,239607,239607
08/31/2008,260609,260609
07/31/2008,261600,261600
06/30/2008,257484,257484
05/31/2008,261466,261466
04/30/2008,252088,252088
03/31/2008,252343,252343
02/29/2008,221336,221336
01/31/2008,232920,232920
12/31/2007,240281,240281
11/30/2007,245787,245787
10/31/2007,261423,261423
09/30/2007,245965,245965
08/31/2007,271225,271225
07/31/2007,267106,267106
06/30/2007,265374,265374
05/31/2007,267574,267574
04/30/2007,252595,252595
03/31/2007,259638,259638
02/28/2007,219232,219232
01/31/2007,233621,233621
12/31/2006,248187,248187
11/30/2006,245346,245346
10/31/2006,257939,257939
09/30/2006,245605,245605
08/31/2006,265206,265206
07/31/2006,263421,263421
06/30/2006,263782,263782
05/31/2006,263370,263370
04/30/2006,250644,250644
03/31/2006,256623,256623
02/28/2006,220711,220711
01/31/2006,233282,233282
12/31/2005,245787,245787
11/30/2005,243056,243056
10/31/2005,251419,251419
09/30/2005,242240,242240
08/31/2005,265323,265323
07/31/2005,267025,267025
06/30/2005,263816,263816
05/31/2005,262678,262678
04/30/2005,250860,250860
03/31/2005,253182,253182
02/28/2005,219970,219970
01/31/2005,224072,224072
12/31/2004,245029,245029
11/30/2004,239796,239796
10/31/2004,254496,254496
09/30/2004,243515,243515
08/31/2004,262836,262836
07/31/2004,265969,265969
06/30/2004,257383,257383
05/31/2004,257235,257235
04/30/2004,250968,250968
03/31/2004,251403,251403
02/29/2004,213709,213709
01/31/2004,222450,222450
12/31/2003,238538,238538
11/30/2003,233698,233698
10/31/2003,254048,254048
09/30/2003,237451,237451
08/31/2003,260687,260687
07/31/2003,262105,262105
06/30/2003,252145,252145
05/31/2003,253244,253244
04/30/2003,239415,239415
03/31/2003,236679,236679
02/28/2003,203677,203677
01/31/2003,218534,218534
12/31/2002,234260,234260
11/30/2002,230648,230648
10/31/2002,245556,245556
09/30/2002,233625,233625
08/31/2002,258666,258666
07/31/2002,256392,256392
06/30/2002,247868,247868
05/31/2002,251746,251746
04/30/2002,237226,237226
03/31/2002,236070,236070
02/28/2002,208237,208237
01/31/2002,215215,215215
12/31/2001,229584,229584
11/30/2001,230511,230511
10/31/2001,241050,241050
09/30/2001,226312,226312
08/31/2001,253274,253274
07/31/2001,250363,250363
06/30/2001,243498,243498
05/31/2001,245357,245357
04/30/2001,232513,232513
03/31/2001,232587,232587
02/28/2001,200876,200876
01/31/2001,209685,209685
12/31/2000,218390,218390
11/30/2000,222819,222819
10/31/2000,236491,236491
09/30/2000,227899,227899
08/31/2000,247832,247832
07/31/2000,245140,245140
06/30/2000,242963,242963
05/31/2000,242501,242501
04/30/2000,227698,227698
03/31/2000,232490,232490
02/29/2000,199261,199261
01/31/2000,203442,203442
12/31/1999,221465,221465
11/30/1999,221856,221856
10/31/1999,233631,233631
09/30/1999,224306,224306
08/31/1999,241503,241503
07/31/1999,243116,243116
06/30/1999,235970,235970
05/31/1999,230786,230786
04/30/1999,220996,220996
03/31/1999,220763,220763
02/28/1999,191485,191485
01/31/1999,193581,193581
12/31/1998,216303,216303
11/30/1998,211178,211178
10/31/1998,228523,228523
09/30/1998,219461,219461
08/31/1998,237143,237143
07/31/1998,239944,239944
06/30/1998,228733,228733
05/31/1998,227899,227899
04/30/1998,217921,217921
03/31/1998,214222,214222
02/28/1998,187167,187167
01/31/1998,196870,196870
12/31/1997,207322,207322
11/30/1997,202422,202422
10/31/1997,221219,221219
09/30/1997,213547,213547
08/31/1997,233496,233496
07/31/1997,236713,236713
06/30/1997,222254,222254
05/31/1997,226082,226082
04/30/1997,211290,211290
03/31/1997,211952,211952
02/28/1997,183950,183950
01/31/1997,190126,190126
12/31/1996,201462,201462
11/30/1996,199643,199643
10/31/1996,215654,215654
09/30/1996,207604,207604
08/31/1996,229050,229050
07/31/1996,225109,225109
06/30/1996,215551,215551
05/31/1996,218676,218676
04/30/1996,205253,205253
03/31/1996,204172,204172
02/29/1996,176562,176562
01/31/1996,183465,183465
12/31/1995,193341,193341
11/30/1995,194131,194131
10/31/1995,206745,206745
09/30/1995,203866,203866
08/31/1995,219216,219216
07/31/1995,217188,217188
06/30/1995,211370,211370
05/31/1995,212586,212586
04/30/1995,198213,198213
03/31/1995,201227,201227
02/28/1995,171053,171053
01/31/1995,193838,193838
12/31/1994,193087,193087
11/30/1994,190074,190074
10/31/1994,202864,202864
09/30/1994,200511,200511
08/31/1994,215045,215045
07/31/1994,214778,214778
06/30/1994,207280,207280
05/31/1994,206594,206594
04/30/1994,195407,195407
03/31/1994,196190,196190
02/28/1994,166444,166444
01/31/1994,169314,169314
12/31/1993,186828,186828
11/30/1993,182322,182322
10/31/1993,197793,197793
09/30/1993,193765,193765
08/31/1993,209634,209634
07/31/1993,209838,209838
06/30/1993,199414,199414
05/31/1993,205981,205981
04/30/1993,188737,188737
03/31/1993,187869,187869
02/28/1993,162844,162844
01/31/1993,171680,171680
12/31/1992,180999,180999
11/30/1992,177380,177380
10/31/1992,194836,194836
09/30/1992,190908,190908
08/31/1992,204753,204753
07/31/1992,206616,206616
06/30/1992,197232,197232
05/31/1992,196725,196725
04/30/1992,186069,186069
03/31/1992,183778,183778
02/29/1992,160204,160204
01/31/1992,167652,167652
12/31/1991,172782,172782
11/30/1991,169693,169693
10/31/1991,188445,188445
09/30/1991,183594,183594
08/31/1991,204063,204063
07/31/1991,198387,198387
06/30/1991,193467,193467
05/31/1991,191929,191929
04/30/1991,179538,179538
03/31/1991,179076,179076
02/28/1991,153351,153351
01/31/1991,157889,157889
12/31/1990,168621,168621
11/30/1990,171565,171565
10/31/1990,182634,182634
09/30/1990,178415,178415
08/31/1990,197057,197057
07/31/1990,195470,195470
06/30/1990,189529,189529
05/31/1990,189247,189247
04/30/1990,179033,179033
03/31/1990,178771,178771
02/28/1990,153559,153559
01/31/1990,163600,163600
12/31/1989,167530,167530
11/30/1989,169735,169735
10/31/1989,182583,182583
09/30/1989,177326,177326
08/31/1989,194172,194172
07/31/1989,190985,190985
06/30/1989,184094,184094
05/31/1989,184823,184823
04/30/1989,174320,174320
03/31/1989,174990,174990
02/28/1989,146732,146732
01/31/1989,159750,159750
12/31/1988,164798,164798
11/30/1988,162957,162957
10/31/1988,175478,175478
09/30/1988,171072,171072
08/31/1988,184503,184503
07/31/1988,184779,184779
06/30/1988,178690,178690
05/31/1988,178042,178042
04/30/1988,166804,166804
03/31/1988,167836,167836
02/29/1988,141748,141748
01/31/1988,148879,148879
12/31/1987,155580,155580
11/30/1987,155676,155676
10/31/1987,166836,166836
09/30/1987,164184,164184
08/31/1987,177378,177378
07/31/1987,175783,175783
06/30/1987,167826,167826
05/31/1987,167776,167776
04/30/1987,159801,159801
03/31/1987,157573,157573
02/28/1987,135996,135996
01/31/1987,139918,139918
12/31/1986,149628,149628
11/30/1986,147813,147813
10/31/1986,159434,159434
09/30/1986,155462,155462
08/31/1986,173977,173977
07/31/1986,171114,171114
06/30/1986,162370,162370
05/31/1986,160459,160459
04/30/1986,150277,150277
03/31/1986,151183,151183
02/28/1986,123526,123526
01/31/1986,132998,132998
12/31/1985,141584,141584
11/30/1985,140872,140872
10/31/1985,154587,154587
09/30/1985,150424,150424
08/31/1985,169437,169437
07/31/1985,166881,166881
06/30/1985,158703,158703
05/31/1985,156726,156726
04/30/1985,147635,147635
03/31/1985,144424,144424
02/28/1985,119367,119367
01/31/1985,124122,124122
12/31/1984,136095,136095
11/30/1984,137272,137272
10/31/1984,147610,147610
09/30/1984,146074,146074
08/31/1984,164920,164920
07/31/1984,161702,161702
06/30/1984,153403,153403
05/31/1984,151046,151046
04/30/1984,141327,141327
03/31/1984,137307,137307
02/29/1984,117483,117483
01/31/1984,122529,122529
12/31/1983,129776,129776
11/30/1983,129776,129776
10/31/1983,144044,144044
09/30/1983,139938,139938
08/31/1983,157649,157649
07/31/1983,156823,156823
06/30/1983,146738,146738
05/31/1983,143619,143619
04/30/1983,132741,132741
03/31/1983,132814,132814
02/28/1983,111828,111828
01/31/1983,119436,119436
12/31/1982,127139,127139
11/30/1982,127139,127139
10/31/1982,138780,138780
09/30/1982,136311,136311
08/31/1982,153300,153300
07/31/1982,152200,152200
06/30/1982,142111,142111
05/31/1982,140283,140283
04/30/1982,140283,140283
03/31/1982,129845,129845
02/28/1982,128182,128182
01/31/1982,109757,109757
12/31/1981,124421,124421
11/30/1981,124421,124421
10/31/1981,133216,133216
09/30/1981,131185,131185
08/31/1981,143464,143464
07/31/1981,141253,141253
06/30/1981,135545,135545
05/31/1981,134305,134305
04/30/1981,134305,134305
03/31/1981,128465,128465
02/28/1981,127798,127798
01/31/1981,116049,116049
12/31/1980,116462,116462
11/30/1980,124798,124798
10/31/1980,132615,132615
09/30/1980,127482,127482
08/31/1980,138666,138666
07/31/1980,136250,136250
06/30/1980,131679,131679
05/31/1980,131269,131269
04/30/1980,131269,131269
03/31/1980,125698,125698
02/29/1980,125179,125179
01/31/1980,116462,116462
